StockCode,Description,Amount
DOT,DOTCOM POSTAGE,206248.7700000002
22423,REGENCY CAKESTAND 3 TIER,174484.74000000025
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104340.28999999838
47566,PARTY BUNTING,99504.33000000053
85099B,JUMBO BAG RED RETROSPOT,94340.0500000021
M,Manual,78110.26999999992
POST,POSTAGE,78101.87999999999
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,64952.28999999993
23084,RABBIT NIGHT LIGHT,58321.390000000174
84879,ASSORTED COLOUR BIRD ORNAMENT,54918.929999999615
79321,CHILLI LIGHTS,54117.759999999966
23298,SPOTTY BUNTING,42548.12999999984
22386,JUMBO BAG PINK POLKADOT,42436.24000000009
21137,BLACK RECORD COVER FRAME,40652.13000000003
22502,PICNIC BASKET WICKER 60 PIECES,39619.5
23284,DOORMAT KEEP CALM AND COME IN,38166.64000000005
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,38158.38999999981
22960,JAM MAKING SET WITH JARS,37128.880000000136
82484,WOOD BLACK BOARD ANT WHITE FINISH,36030.22000000018
20725,LUNCH BAG RED RETROSPOT,35752.010000000075
22197,POPCORN HOLDER,34298.87000000005
22178,VICTORIAN GLASS HANGING T-LIGHT,33187.97000000008
22114,HOT WATER BOTTLE TEA AND SYMPATHY,33002.590000000026
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32873.34000000018
22112,CHOCOLATE HOT WATER BOTTLE,32866.18000000005
85099F,JUMBO BAG STRAWBERRY,32570.469999999947
22469,HEART OF WICKER SMALL,32107.79999999991
23245,SET OF 3 REGENCY CAKE TINS,31177.94999999992
21931,JUMBO STORAGE BAG SUKI,30770.119999999908
22727,ALARM CLOCK BAKELIKE RED ,30701.119999999955
23199,JUMBO BAG APPLES,30475.649999999863
22470,HEART OF WICKER LARGE,30139.410000000295
22355,CHARLOTTE BAG SUKI DESIGN,29277.94999999995
22699,ROSES REGENCY TEACUP AND SAUCER ,29095.27000000042
23355,HOT WATER BOTTLE KEEP CALM,28842.550000000003
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28634.9499999999
22457,NATURAL SLATE HEART CHALKBOARD ,28147.960000000472
