Country,StockCode,Description,Amount,Rank
United Kingdom,DOT,DOTCOM POSTAGE,206248.7700000002,1.0
United Kingdom,22423,REGENCY CAKESTAND 3 TIER,142273.29000000004,2.0
United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,98545.23999999861,3.0
United Kingdom,47566,PARTY BUNTING,93658.53000000035,4.0
United Kingdom,85099B,JUMBO BAG RED RETROSPOT,86471.34000000171,5.0
United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,62742.53999999999,6.0
United Kingdom,79321,CHILLI LIGHTS,53336.55999999997,7.0
United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,50580.78999999975,8.0
United Kingdom,22502,PICNIC BASKET WICKER 60 PIECES,39619.5,9.0
United Kingdom,21137,BLACK RECORD COVER FRAME,39442.17000000003,10.0
United Kingdom,22386,JUMBO BAG PINK POLKADOT,38571.400000000045,11.0
United Kingdom,23084,RABBIT NIGHT LIGHT,38087.94999999997,12.0
United Kingdom,23298,SPOTTY BUNTING,37098.829999999965,13.0
United Kingdom,23284,DOORMAT KEEP CALM AND COME IN,37070.590000000026,14.0
United Kingdom,M,Manual,35290.15,15.0
United Kingdom,82484,WOOD BLACK BOARD ANT WHITE FINISH,35123.97000000017,16.0
United Kingdom,22197,POPCORN HOLDER,32709.320000000036,17.0
United Kingdom,22178,VICTORIAN GLASS HANGING T-LIGHT,32321.570000000087,18.0
United Kingdom,22114,HOT WATER BOTTLE TEA AND SYMPATHY,32199.09000000002,19.0
United Kingdom,22469,HEART OF WICKER SMALL,31394.499999999924,20.0
United Kingdom,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,30924.440000000155,21.0
United Kingdom,85099F,JUMBO BAG STRAWBERRY,30730.749999999945,22.0
United Kingdom,22112,CHOCOLATE HOT WATER BOTTLE,30728.38000000007,23.0
United Kingdom,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,29962.990000000074,24.0
United Kingdom,22470,HEART OF WICKER LARGE,29929.960000000287,25.0
United Kingdom,21931,JUMBO STORAGE BAG SUKI,29420.42999999991,26.0
United Kingdom,22960,JAM MAKING SET WITH JARS,29090.630000000117,27.0
United Kingdom,20725,LUNCH BAG RED RETROSPOT,29007.71000000002,28.0
United Kingdom,23355,HOT WATER BOTTLE KEEP CALM,27866.200000000004,29.0
United Kingdom,22355,CHARLOTTE BAG SUKI DESIGN,27707.599999999944,30.0
United Kingdom,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,27153.589999999902,31.0
United Kingdom,22457,NATURAL SLATE HEART CHALKBOARD ,27108.160000000436,32.0
United Kingdom,85099C,JUMBO  BAG BAROQUE BLACK WHITE,26863.999999999913,33.0
United Kingdom,23199,JUMBO BAG APPLES,26469.669999999907,34.0
United Kingdom,22727,ALARM CLOCK BAKELIKE RED ,26426.86999999996,35.0
United Kingdom,23201,JUMBO BAG ALPHABET,25441.90999999989,36.0
United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,25439.179999999942,37.0
United Kingdom,21175,GIN + TONIC DIET METAL SIGN,24987.329999999827,38.0
United Kingdom,22699,ROSES REGENCY TEACUP AND SAUCER ,24390.520000000284,39.0
United Kingdom,22726,ALARM CLOCK BAKELIKE GREEN,24218.279999999973,40.0
United Kingdom,48138,DOORMAT UNION FLAG,24114.849999999988,41.0
United Kingdom,21621,VINTAGE UNION JACK BUNTING,24058.32999999999,42.0
United Kingdom,20685,DOORMAT RED RETROSPOT,23998.940000000006,43.0
United Kingdom,21181,PLEASE ONE PERSON METAL SIGN,23534.08000000006,44.0
United Kingdom,48185,DOORMAT FAIRY CAKE,23112.86,45.0
United Kingdom,22189,CREAM HEART CARD HOLDER,23052.670000000002,46.0
United Kingdom,48187,DOORMAT NEW ENGLAND,22934.739999999972,47.0
United Kingdom,21623,VINTAGE UNION JACK MEMOBOARD,22880.740000000096,48.0
United Kingdom,22111,SCOTTIE DOG HOT WATER BOTTLE,22831.4900000001,49.0
United Kingdom,23245,SET OF 3 REGENCY CAKE TINS,22632.24999999997,50.0
United Kingdom,82482,WOODEN PICTURE FRAME WHITE FINISH,22410.21000000006,51.0
United Kingdom,23203,JUMBO BAG VINTAGE DOILY ,22194.119999999933,52.0
United Kingdom,23344,JUMBO BAG 50'S CHRISTMAS ,22135.829999999994,53.0
United Kingdom,22666,RECIPE BOX PANTRY YELLOW DESIGN,22133.05000000021,54.0
United Kingdom,21733,RED HANGING HEART T-LIGHT HOLDER,21828.24000000013,55.0
United Kingdom,85066,CREAM SWEETHEART MINI CHEST,21825.299999999977,56.0
United Kingdom,48194,DOORMAT HEARTS,21363.969999999987,57.0
United Kingdom,84029E,RED WOOLLY HOTTIE WHITE HEART.,21269.879999999997,58.0
United Kingdom,21929,JUMBO BAG PINK VINTAGE PAISLEY,21169.23999999992,59.0
Germany,POST,POSTAGE,21001.0,1.0
United Kingdom,20713,JUMBO BAG OWLS,20958.49999999994,60.0
United Kingdom,23173,REGENCY TEAPOT ROSES ,20739.480000000025,61.0
United Kingdom,22138,BAKING SET 9 PIECE RETROSPOT ,20313.020000000102,62.0
United Kingdom,20727,LUNCH BAG  BLACK SKULL.,20259.46000000003,63.0
United Kingdom,22722,SET OF 6 SPICE TINS PANTRY DESIGN,20211.510000000002,64.0
United Kingdom,21479,WHITE SKULL HOT WATER BOTTLE ,20209.950000000015,65.0
United Kingdom,23202,JUMBO BAG VINTAGE LEAF,20118.4899999999,66.0
United Kingdom,22697,GREEN REGENCY TEACUP AND SAUCER,20073.500000000226,67.0
United Kingdom,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,20071.07000000003,68.0
United Kingdom,22961,JAM MAKING SET PRINTED,19894.930000000015,69.0
United Kingdom,15056N,EDWARDIAN PARASOL NATURAL,19576.840000000015,70.0
United Kingdom,21523,DOORMAT FANCY FONT HOME SWEET HOME,19536.489999999994,71.0
United Kingdom,21915,RED  HARMONICA IN BOX ,19315.379999999976,72.0
United Kingdom,84946,ANTIQUE SILVER T-LIGHT GLASS,19156.619999999988,73.0
United Kingdom,22090,PAPER BUNTING RETROSPOT,19148.31000000012,74.0
United Kingdom,22501,PICNIC BASKET WICKER LARGE,18954.010000000075,75.0
United Kingdom,82494L,WOODEN FRAME ANTIQUE WHITE ,18861.290000000132,76.0
United Kingdom,22659,LUNCH BOX I LOVE LONDON,18761.300000000007,77.0
United Kingdom,20724,RED RETROSPOT CHARLOTTE BAG,18539.089999999993,78.0
United Kingdom,20728,LUNCH BAG CARS BLUE,18372.27999999997,79.0
United Kingdom,21166,COOK WITH WINE METAL SIGN ,18298.919999999907,80.0
United Kingdom,22835,HOT WATER BOTTLE I AM SO POORLY,17436.509999999995,81.0
United Kingdom,22139,RETROSPOT TEA SET CERAMIC 11 PC ,17187.010000000137,82.0
United Kingdom,23206,LUNCH BAG APPLE DESIGN,17039.979999999952,83.0
United Kingdom,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,16843.24999999997,84.0
United Kingdom,22865,HAND WARMER OWL DESIGN,16722.03000000008,85.0
United Kingdom,20712,JUMBO BAG WOODLAND ANIMALS,16564.559999999918,86.0
United Kingdom,15036,ASSORTED COLOURS SILK FAN,16539.919999999907,87.0
United Kingdom,22728,ALARM CLOCK BAKELIKE PINK,16307.89999999998,88.0
United Kingdom,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,16282.909999999916,89.0
United Kingdom,22383,LUNCH BAG SUKI DESIGN ,16242.829999999918,90.0
United Kingdom,82583,HOT BATHS METAL SIGN,16204.66000000004,91.0
United Kingdom,21754,HOME BUILDING BLOCK WORD,16102.070000000038,92.0
United Kingdom,23301,GARDENERS KNEELING PAD KEEP CALM ,16020.449999999955,93.0
United Kingdom,22969,HOMEMADE JAM SCENTED CANDLES,15877.94999999993,94.0
United Kingdom,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15837.790000000028,95.0
United Kingdom,21212,PACK OF 72 RETROSPOT CAKE CASES,15754.070000000056,96.0
United Kingdom,85152,HAND OVER THE CHOCOLATE   SIGN ,15604.13000000004,97.0
France,POST,POSTAGE,15454.0,1.0
United Kingdom,22698,PINK REGENCY TEACUP AND SAUCER,15403.660000000104,98.0
United Kingdom,23313,VINTAGE CHRISTMAS BUNTING,15299.110000000017,99.0
United Kingdom,84978,HANGING HEART JAR T-LIGHT HOLDER,15194.849999999975,100.0
United Kingdom,22084,PAPER CHAIN KIT EMPIRE,14963.670000000018,101.0
United Kingdom,84078A,SET/4 WHITE RETRO STORAGE CUBES ,14935.30000000004,102.0
United Kingdom,21485,RETROSPOT HEART HOT WATER BOTTLE,14880.580000000062,103.0
United Kingdom,22379,RECYCLING BAG RETROSPOT ,14878.58999999998,104.0
United Kingdom,82483,WOOD 2 DRAWER CABINET WHITE FINISH,14864.119999999939,105.0
United Kingdom,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,14819.400000000114,106.0
United Kingdom,23203,JUMBO BAG DOILEY PATTERNS,14776.50999999996,107.0
United Kingdom,21843,RED RETROSPOT CAKE STAND,14776.050000000027,108.0
United Kingdom,22385,JUMBO BAG SPACEBOY DESIGN,14632.3499999999,109.0
United Kingdom,22993,SET OF 4 PANTRY JELLY MOULDS,14387.429999999971,110.0
United Kingdom,22384,LUNCH BAG PINK POLKADOT,14146.13999999992,111.0
United Kingdom,22077,6 RIBBONS RUSTIC CHARM,13998.369999999984,112.0
United Kingdom,22866,HAND WARMER SCOTTY DOG DESIGN,13824.420000000033,113.0
United Kingdom,AMAZONFEE,AMAZON FEE,13761.09,114.0
United Kingdom,21731,RED TOADSTOOL LED NIGHT LIGHT,13441.229999999974,115.0
United Kingdom,22382,LUNCH BAG SPACEBOY DESIGN ,13399.659999999933,116.0
United Kingdom,20726,LUNCH BAG WOODLAND,13308.92999999992,117.0
United Kingdom,22867,HAND WARMER BIRD DESIGN,13214.090000000047,118.0
